,songname,comments
0,#ImSippinTeaInYoHood.json,nil
1,'03 Adolescence.json,nil
2,'39.json,"
Such a fantastic song, one of my favorites.  A Brian May composition which is a bit of a departure from the power progressive style of Queen.  It's a science fiction tale which brilliantly employs a part of Einsteins theory of Relativity, time dilation.  Meaning as speed increases time expands; a week becomes a month, a month becomes a year, etc.   It tells a story of a group of space voyagers (the volunteers), who in the year of 39 (could be 2239, 2339, who knows) depart a dying Earth in a space ship to explore a distant world for habitability. Presumably a government project, essentially scouting the planet for colonization.  If they were to travel at speeds approaching the speed of light then the effects of time dilation would dramatically reduce the rate at which they age.  A year back on Earth could mean only a day to them physiologically.  If you follow the words you can piece together it took the volunteers 100 years to complete the mission, returning to Earth exactly one century later (in the year of 39 came a ship in from the blue).  It's the year of 39.... in the next century. 

Upon their return they discover the world they left no longer exists.  They have been gone a century yet the effects of time dilation has aged them only a year. Their families are long dead, the Earth has deteriorated to a gray planet.  They came back to report the world they explored is vibrant and perfect for humanity.  But their good news is quickly squashed by the realization that they are now refugees in time.  

The song seems to have a dual narrative; a third person perspective telling the tale of the voyage and their return underlying a first person conversation.  ""Can't you hear me calling you, though you're many years away?"" is an imaginary conversation between one of the volunteers and presumably his wife, speaking to her through space and time.  ""write your letters in the sand"", to me, seems to suggest leaving him a message etched in the earth he will see when he returns, perhaps a tree or stone.  ""for the day I take your hand in the land that our grandchildren knew."" is simply a longing to return to the time and place with his loved ones.  A land he knows his grandchildren will inhabit in his absence.  

I think the line ""your mother's eyes from your eyes cry to me.""  suggest the voyager has met one of his children.  After so long it has to be assumed his child is now a centenarian.  And he is still a young man.  

""For my life's still ahead, pity me.""  means he is now alone and will live out the rest of his life displaced in time with no one.   

Lyrically the song does not give you all the information you would need to assemble the events or meaning of those events.  It only gives you enough to put together a long voyage and it's effects physically and psychologically.  What I love is the way it's intentionally framed as a sea voyage to a new land, not as a journey into space. Unless you knew ""though I'm older but a year"" meant a very specific phenomena of intergalactic travel, you would be confused by that.  But that is precisely what it is, and Mays knew enough about astrophysics to use it as the basis for a sad tale of loss.  				
				







 
There was an error.





@DouglasNC 
















0








 
@DouglasNC Brilliant interpretation!			







+2








 
@DouglasNC Awesome write up.  FWIW, I think ""write your letters in the sand""  refers to  the sands of time.			







0








 
@DouglasNC You're a brilliant bastard			






@DouglasNC Brilliant interpretation!			

@DouglasNC Awesome write up.  FWIW, I think ""write your letters in the sand""  refers to  the sands of time.			

@DouglasNC You're a brilliant bastard			

I agree with brian May - its about space travel.

he should know - he wrote it.				
				







 
There was an error.





@Garfield1974 
















0








 
			Yes, I can't believe how many people argue about what a song is about AFTER the writer has even explained it interviews (see Chicago, 25 or 6 to 4).

You may interpret it another way for you, but don't deny what the author has said.			






			Yes, I can't believe how many people argue about what a song is about AFTER the writer has even explained it interviews (see Chicago, 25 or 6 to 4).

You may interpret it another way for you, but don't deny what the author has said.			

Without doubt the lyrics deal with Special relativity and time dilation.  Curious?  Not given the source.  May has a Phd in Astrophyics and is currently the Chancelor of a 15,000 student University in London.  Clever fellow indeed.

F. Prefect				
				







 
There was an error.





@Ford Prefect 















this is a beautiful awesome song				
				







 
There was an error.





@queenrush_bestmusic 















Definately about time travel				
				







 
There was an error.





@cammi20 















i love this song too! i especially love the ""Ne'er looked back, never feared, never cried."" and ""All my life Still ahead Pity Me."" just the way brian may sings it is fantastic.				
				







 
There was an error.





@blue 
















0








 
			TOTALY AGREE, GIVES ME GOOSEBUMPS THE WAY HE SINGS THEM BITS. THOUGHT IT WAS JUST ME WHO THOUGHT STUFF LIKE THAT LOL			






			TOTALY AGREE, GIVES ME GOOSEBUMPS THE WAY HE SINGS THEM BITS. THOUGHT IT WAS JUST ME WHO THOUGHT STUFF LIKE THAT LOL			

I've heard about the star travel meaning for years;  never thought to look at it from the angle of the Volunteers being soldiers...  very cool interp.   Of course, the ""milky seas"" is very descriptive of the stars in the sky - heading deeper into the Galactic Center.  

The lines about writing letters in the sand, to mean man's impermanence, always gave me chills.  

""Your mother's eyes in your eyes cry to me,"" could mean that's confronting his descendants, or else he's returned to find his wife dead, and he's talking to his daughter.  

I also always loved the line, ""Don't you hear my call though you're many years away.""  As if the space between them is a span of years, not miles.  The location is the technical same, but time has pulled his wife away.				
				







 
There was an error.





@Sir_Larrikin 















this is a v good song :) I love the harmonies in the chorus				
				







 
There was an error.





@mercury_girl86 















Yeah, I agree with Alieno too...but I don't think it's just one '39, I think that it must be two '39s. ""In the year of '39 assembled here the Volunteers"" This is the year when they left, possibly in 2039, probably not 1939 considering they didn't have rockets then. ""In the year of '39 came a ship in from the blue"" Then this is the '39 when they came back, but you don't know how long they were gone for, so they could've been gone for 100 years, then it would be 2139, or maybe 500, or maybe even 1000 so it would be 3039!				
				







 
There was an error.





@TheYipskee 















Before I looked on here I thought is was about 1939 with people being called up as volunteers to fight in WW2, pining for their loved ones and struggling to stay in touch while away fighting. Looks like I wrong though.				
				







 
There was an error.





@manic4manics 














"
3,(I Love You) For Sentimental Reasons.json,"
Some of these, for strange reasons, were done by Nat(hanial) ""King"" Cole AND Natalie Cole.				
				







 
There was an error.





@Bobo192 















It's so simple, it's wonderful.  Because it is so simple, it makes it such a beautiful love song.  It makes me wish some guy would dedicate that song to me...it's just a great song about how you love the person for special (sentimental) reasons and you can feel the love that the lyrics have.				
				







 
There was an error.





@Chloe11 















i love this song. i heard it on the wonder years first and watching some videos i heard it again, and wish that someone dedicated this to me as well				
				







 
There was an error.





@wackydeli3 















I actually think of the movie As Good As It Gets everytime I hear this song.  I love it, both the movie and the song.				
				







 
There was an error.





@knate15 















i love tanya chua's version of it				
				







 
There was an error.





@joiedevivre 















if i ever think marriage is a great idea, i'd use this as a wedding song				
				







 
There was an error.





@browsacookiemonsta 















Beautiful!				
				







 
There was an error.





@Ry865 















In response to browsacookiemonsta, it is a thoughtful wedding song. My parents danced to this song during their first dance at their wedding.				
				







 
There was an error.





@mysticlipstick 














"
4,(You're The) Devil In Disguise.json,"
Proverbs 5				
				







 
There was an error.





@growingchristian1 















What a song! Basically about people who are different from what they appear to be on the outside. Seems this one is about being taken in by a girl who turns out to be a lot nastier than the angelic first impression conveys. Moral is people arent always what they seem. Great song tho, I love the way it changes.				
				







 
There was an error.





@Mr_Soul 















why so little comments? I love this song! :) Elvis rocks				
				







 
There was an error.





@pottergirl 















And no marvel; for Satan himself is transformed into an angel of light.
2 CORINTHIANS 11:14				
				







 
There was an error.





@soulfreedom 















about people who arnt all that they seem.
this song brings back great memories... my dad used to have all these on repeat and we used to sing along in the living room.				
				







 
There was an error.





@paradise ice 















Elvis was both a devil in disguise himself, because his mission was to corrupt and destroy the morals of the young people (the parents and older people mostly were disgusted by the provocation of Elvis. But that didn't stop them, they broke this resistance and the next generation could even be exposed to much more twisted things and so on.). And he signed a deal with the devil in disguise, maybe not even knowing that he was selling his soul. 

But Elvis was a tool anyway, an artificial creation like the Beatles, send to the masses to corrupt their thinking, to plant ideas of sexual immorality and party and worldlyness into their minds, plus he was a false idol that was and still is worshipped by many people. Though he wasn't a good person at all and he died poor and in misery after heavy drug use, though one should think he should have been a happy man, because he could afford everything that many people dream of. I always find it fascinating (but also scary) how obvious and in your face song lyrics get if you read them from a Christian and biblical standpoint. If you don't believe in God, you can always say ""this isn't real, it's a metaphor, he's just kidding, it's sarcasm"".				
				







 
There was an error.





@cloudtraveller 














"
5,...And Now I'm Gay.json,nil
6,02 Panic Room.json,"
I think MuminPL is right on the money, I've never seen an interview with them before, but I noticed in one of their albums, they list Akira Yamaoka as an influence, he did all the soundtracks to silent hill.  
If you look at the lyrics to this song, everything points to Silent Hill The Room, 302 is the apartment that it's set in,(used to be my 302), and holes appear in the walls (peering through the hole) that the character travels through into Silent Hill,  the character finds that he is locked within his apartment and looks through the spyhole and watches his neighbours knocking on his door, i think the character has weird dreams too (reccuring dreams) and of course there's the darkness that is Silent Hill that manifests itself within the apartment.  
If you have seen the video aswell, there are visual elements that reference The Room, eg: a revolving door, decaying building, a bathtub (more SH3).
To summarize, although I am guessing, I think the evidence is clear.








 
There was an error.





@ebsmith 















I have heard of Riverside thru Myspace, They're unique and good.
So is 302 a room number? it's kinda confusing. I guess he was going thru something that turned out fake? :-\ so metaphorically speakin he was in a room sheltered and all but it was not where he wants to be, not where he belongs?
The final acoustic part is amazing, it explains itself. 
""I've tried to make self-portraits before
Through my eyes
Just see myself
Now I know
I'm not in denial
That I need someone else
To see me
To see me ""				
				







 
There was an error.





@Engie259 















I've read an interview with those guys somewhere and the singer said something about a computer game (I'm not sure - perhaps Silent Hill or Alone in the Dark?) in which the room 302 was somehow significant. He was referring to this in the song.				
				







 
There was an error.





@MuminPL 















I just think that 302 was the characters' university dorm room number, either that or apartment number. But I think dorm room because of the lyrics in Artificial Smile, in which he seems to be describing meeting someone in in university (and hating them and wanting them to fail)				
				







 
There was an error.





@mathrocker 















This is quite possibly my favourite riverside song, which is interesting because rapid eye movement would have to be their weakest album. This makes me think of dreams, for those that have a strong attachment to their dreams, sleep and dreams can serve as wonderful and effective ""panic rooms"" to escape from reality, forget their problems etc.				
				







 
There was an error.





@FenderPrecision 
















0








 
			I really don't think this has anything to do with Silent Hill. The hole he is peering through is the peephole in his dorm or apartment door. And he is looking out in hopes of catching a glimpse of the girl he lusts for. The stuff about problems sleeping is just because he is a troubled man.			






			I really don't think this has anything to do with Silent Hill. The hole he is peering through is the peephole in his dorm or apartment door. And he is looking out in hopes of catching a glimpse of the girl he lusts for. The stuff about problems sleeping is just because he is a troubled man.			

Ok so I am not really sure what this song is about, but I think the dude feels safe when he's asleep but must come to terms with himself while he's awake because he's tired of hiding from himself. Oh and 302 is the number you call when you want to put someone in a psychiatric facility, it's kinda like 911 but for the psych. hospital. 				
				







 
There was an error.





@neuropsycho103 















Just best prog song ever exept Tool songs..				
				







 
There was an error.





@Soulite 















the song is definitely about silent hill. if you've played silent hill 4 you would see how the first part of lyrics explain the antagonist's situation in the game. but the second part of the song stray from the antagonist and , in my opinion, are the song writer's complementary interpretation to the life of one of the less centered, though compelling characters of the game,one of the neighbors.an portrait artist, who lives alone doing nothing but painting portraits of neighbors trying to capture the essence of their lives in each painting. although i love the silent hill music and especially in silent hill 4. i think this song is a very nice change of pace. a brilliant song for a brilliant game.








 
There was an error.





@taha777 














"
7,1.5.json,nil
8,10 Feet Down.json,"
It sounds motivational, but at the same time it is almost like a warning for when you finally get to the top. ""What goes up has to come down"" sort of thing. But really I also see it like ""the grass is greener on the other side"" as well. You get what you want, and it's still not enough, because it's not what you need. You are trying to reach for something that isn't going to keep your cup filled.				
				







 
There was an error.





@sylcollective 














"
9,"10,000 Days (Wings Pt. 2).json","
First, people really need to listen to TOOL, APC, and Puscifer and realize that Maynard Keenan, although very spiritual, is not a fan of organized religion.
The 10,000 Days album is not about religion, but a variety of topics, such as vicarious being about vicariously living out violence through TV (eye on the TV...cause I need to watch things die from a distance), The Pot being about hypocrisy (every line in the song pretty much being an analogy for hypocrisy), and Rosetta Stoned being an overdose from  X and DMT (10 to 2 AM, X and yogi DMT and a box of krispy kremes).
The song Wings for Marie, and 10,000 Days (Wings pt. 2), these very beautiful and powerful songs, are about Maynard Keenan's mother, Judith Marie, who suffered from a stroke that left her paralyzed and wheelchair bound until she died 27 years later, which is about 10,000 days, rounding up. He also makes a specialty wine named after his mother.				
				







 
There was an error.





@Warhart 















Listen to the tales as we all rationalize
Our way into the arms of the savior,
Feigning all the trials and the tribulations;
None of us have actually been there.
Not like you.

Many people spend their life rationalizing, trying to make a logical decision of what to believe in. Maynard respects his mother for going by her true feelings, or intuition, instead. people try to convince themselves to keep faith or believe in this or that. she actually experienced the ""light"" described by so many different schools of thought through her faith in Jesus. Even though maynard doesnt like the stories of jesus he cant help but respect and admire this ""light"". christianity isnt the only way to achieve it, probably the least likely way actually. all the more reason to respect his mother for it.

This is what maynard learned from his mother. to seek that light and live for it. he just chooses to seek it in a different way... ""a gift you passed on to me""

the feeling most people only ""read about""

she never lived a lie, she actually felt this spiritual connection to jesus. her set of beliefs says that in doing this she will be saved, go to heaven or whatever. thats why maynard says she can look god in the eye and demand her wings. Its an assurance that she did her part.

she saved maynards life by teaching him to trust his spirituality.				
				







 
There was an error.





@joshdub223 















I'm a 16 year old guy, and a huge fan of TOOL.

I just want to say that this song has the most powerful lyrics of any song by TOOL. Hell, it has the most powerful lyrics of any song by anyone. In all honesty, after reading the lyrics along with the music, I was crying. Like actually crying. Don't get me wrong, but I've never been religious. But religious or not, this song truly sums up life and death. This is a beautiful tribute to his mother that delves into the unknown deeper than anything ever before. Producing a poetic masterpiece like this is an achievement no one should ignore. The time, the effort, the emotion that goes into creating something like this: it all just adds up to song that is nothing short of monumental.				
				







 
There was an error.





@dhgrossman92 
















+1








 
@dhgrossman92 wow, you must be 22 or 23 by now, has aging changed that view a bit over the years?			







+1








 
@Aragotton LOL i'd say my comment from 7 years ago is nothing short of dramatic			






@dhgrossman92 wow, you must be 22 or 23 by now, has aging changed that view a bit over the years?			

@Aragotton LOL i'd say my comment from 7 years ago is nothing short of dramatic			

@drds63 - I think you may have taken the lyrics a bit too literally, from lyrics from this song and other it would seem Maynard is probably an agnostic if not an atheist outright (Set in my ways and my arrogance, burden of proof tossed on believers).  What I think hes saying, interpreted from that perspective, is that he hopes his mother is rewarded for her lifetime of hardship, belief, and faith, that if anyone is deserving of a reward it is her.

You're definitely right that he is holding her high on a perch, but come on it's his mom.  In other songs hes seemed to allude to her saving him (Reflection: ""I have come curiously close to the end"" ""Within my darkest moment, feeling weak"" ""As full and bright as I am, this light is not my own, A million light reflections, pass over me"") so she probably was very special to him, and this is his send off to her.				
				







 
There was an error.





@RossGarner 















Haha...all the people that posted back in 06 thought this was a fake. Nope. 
Anyways this song is obviously written to Judith Marie, Maynard's mom. She was paralyzed for 27 years, or 10,000 days, but you already know all that.
This song serves two purposes: 1. As a eulogy to his mother and 2. as a way to call attention to the hypocrisy within the christian church. Judith was heavily religious and dedicated her life to God despite her being paralyzed. Maynard calls her a savior in herself because she is the only one, it seems, in the christian faith to follow the teachings so devotedly. He also says that the rest of the ""ingorant sinners"" are lost without her. The song also includes an account of what it would be like as Judith approaches the gates of ST. Peter.				
				







 
There was an error.





@fortyeighth 
















+1








 
			Nailed it.			






			Nailed it.			

Trexor.... you think that there's no way an artist would dedicate a song to his dead mother???? did you not see the APC site after she died? the site was turned into a rather touching memorial to her for almost 2 weeks...

(the song) Judith... MOCKING HIS MOM??? dude, you don't honestly believe that do you? the opening line being...
'you're such an inspiration for the ways that i will never ever choose to be'...

even if 10,000 Days is a decoy (note: NOT A HOAX, but a decoy) it was made to sound as convincingly like a Tool album as possible...				
				







 
There was an error.





@egb 















^ theres prolly a ""shortage"" in you pants....and I.Q.				
				







 
There was an error.





@SmileyGladHands 















Then again every girl deserves a fairytale... A Cinderella Story... the end.				
				







 
There was an error.





@perhapspsychology 















On 10,000 Days, Keenan wanted to explore issues more personal to him:[95] the album name and title track refer to the twenty-seven years during which his mother suffered from complications of a stroke until her death in 2003.				
				







 
There was an error.





@AaronSaund 















Who cares if its a hoax or not, it's still new music from tool. If its a hoax then its even better becuase then theres another album coming out in a month. But this album is really good in my oppinion.				
				







 
There was an error.





@meddlehead40 














"
